method,model,band,draw,size_multiplier,n_edges,n_edges_acdc_ref,total_edges,size_fraction,n_edges_method,n_edges_acdc,n_intersection,n_union,jaccard,recall_in_acdc,recall_in_method,dice
eap_ig,pythia-1b,very_low,draw_1,0.75,705,940,10009,0.07043660705365172,705,940,437,1208,0.3617549668874172,0.4648936170212766,0.6198581560283688,0.5313069908814589
eap_ig,pythia-1b,very_low,draw_1,1.0,940,940,10009,0.09391547607153562,940,940,512,1368,0.3742690058479532,0.5446808510638298,0.5446808510638298,0.5446808510638298
eap_ig,pythia-1b,very_low,draw_1,1.5,1410,940,10009,0.14087321410730344,1410,940,628,1722,0.36469221835075494,0.6680851063829787,0.4453900709219858,0.534468085106383
eap_ig,pythia-1b,very_low,draw_1,2.0,1880,940,10009,0.18783095214307124,1880,940,709,2111,0.3358597820937944,0.7542553191489362,0.3771276595744681,0.5028368794326241
eap_ig,pythia-1b,very_low,draw_1,3.0,2820,940,10009,0.2817464282146069,2820,940,814,2946,0.27630685675492195,0.8659574468085106,0.2886524822695035,0.4329787234042553
eap_ig,pythia-1b,very_low,draw_1,5.0,4700,940,10009,0.4695773803576781,4700,940,893,4747,0.18811881188118812,0.95,0.19,0.31666666666666665
eap_ig,pythia-1b,very_low,draw_2,0.1,91,911,10009,0.009091817364372066,91,911,80,922,0.08676789587852494,0.08781558726673985,0.8791208791208791,0.1596806387225549
eap_ig,pythia-1b,very_low,draw_2,0.2,182,911,10009,0.01818363472874413,182,911,144,949,0.1517386722866175,0.15806805708013172,0.7912087912087912,0.26349496797804206
eap_ig,pythia-1b,very_low,draw_2,0.3,273,911,10009,0.027275452093116194,273,911,202,982,0.20570264765784113,0.2217343578485181,0.73992673992674,0.34121621621621623
eap_ig,pythia-1b,very_low,draw_2,0.5,456,911,10009,0.04555899690278749,456,911,299,1068,0.2799625468164794,0.32821075740944017,0.6557017543859649,0.43745427944403803
eap_ig,pythia-1b,very_low,draw_2,0.75,683,911,10009,0.06823858527325408,683,911,408,1186,0.3440134907251265,0.4478594950603732,0.5973645680819912,0.5119196988707654
eap_ig,pythia-1b,very_low,draw_2,1.0,911,911,10009,0.09101808372464781,911,911,485,1337,0.36275243081525804,0.5323819978046103,0.5323819978046103,0.5323819978046103
eap_ig,pythia-1b,very_low,draw_2,1.5,1366,911,10009,0.13647717054650815,1366,911,610,1667,0.3659268146370726,0.6695938529088913,0.4465592972181552,0.5357927097057532
eap_ig,pythia-1b,very_low,draw_2,2.0,1822,911,10009,0.18203616744929563,1822,911,689,2044,0.33708414872798437,0.756311745334797,0.3781558726673985,0.5042078302231979
eap_ig,pythia-1b,very_low,draw_2,3.0,2733,911,10009,0.27305425117394344,2733,911,790,2854,0.27680448493342674,0.867178924259056,0.2890596414196853,0.433589462129528
eap_ig,pythia-1b,very_low,draw_2,5.0,4555,911,10009,0.45509041862323907,4555,911,867,4599,0.18851924331376385,0.9517014270032931,0.19034028540065862,0.3172338090010977
