model,draw,layer,mi_probe,mi_fano,probe_accuracy,method
pythia-1.4b,draw_2,19,1.3335102160659744,0.8680947918630852,0.7084444444444445,probe
pythia-1.4b,draw_2,20,1.392216706998849,0.9245131684906893,0.7253333333333334,probe
pythia-1.4b,draw_2,21,1.3946437606705895,0.9245131684906889,0.7253333333333333,probe
pythia-1.4b,draw_2,22,1.3799293680076985,0.9305707825385141,0.727111111111111,probe
pythia-1.4b,draw_2,23,1.3882787788101851,0.9581157949628456,0.735111111111111,probe
pythia-1.4b,draw_3,0,0.8254264286293382,0.4461002540601031,0.5573333333333335,probe
pythia-1.4b,draw_3,1,0.9444405509205387,0.5350094573467001,0.5937777777777777,probe
pythia-1.4b,draw_3,2,1.031773738675805,0.583613052868293,0.6124444444444445,probe
pythia-1.4b,draw_3,3,1.0266703170303828,0.5883518648266879,0.6142222222222222,probe
pythia-1.4b,draw_3,4,1.0225800800918743,0.5718499972921367,0.608,probe
pythia-1.4b,draw_3,5,0.9864497849347178,0.555582493264811,0.6017777777777777,probe
pythia-1.4b,draw_3,6,1.00437074791444,0.5463915061024365,0.5982222222222221,probe
pythia-1.4b,draw_3,7,0.9517851006524041,0.5081738343822291,0.5831111111111111,probe
pythia-1.4b,draw_3,8,0.9584111721459871,0.5418244824188727,0.5964444444444444,probe
pythia-1.4b,draw_3,9,0.9537857817657307,0.5170437622852708,0.5866666666666667,probe
pythia-1.4b,draw_3,10,0.9299750329811936,0.4971919112439438,0.5786666666666667,probe
pythia-1.4b,draw_3,11,1.0467415375444569,0.6269579780363441,0.6284444444444445,probe
pythia-1.4b,draw_3,12,1.0422970291912428,0.6220642556776397,0.6266666666666667,probe
pythia-1.4b,draw_3,13,1.0204301873756672,0.6171900226695621,0.6248888888888888,probe
pythia-1.4b,draw_3,14,1.0404690517206545,0.6567317562789956,0.6391111111111112,probe
pythia-1.4b,draw_3,15,1.1173369308663377,0.7503631912020101,0.671111111111111,probe
pythia-1.4b,draw_3,16,1.2037657664946815,0.8334932626970297,0.6977777777777778,probe
pythia-1.4b,draw_3,17,1.231503049406547,0.8478150546598939,0.7022222222222222,probe
