model,draw,band,layer,mean_norm,std_norm,median_norm
pythia-160m,draw_1,control,1,5.235036849975586,0.5917328000068665,5.20515251159668
pythia-160m,draw_1,control,2,6.334547519683838,0.5429475903511047,6.359910011291504
pythia-160m,draw_1,control,3,6.12846040725708,0.45463988184928894,6.074123859405518
pythia-160m,draw_1,control,4,6.79718542098999,0.39705395698547363,6.780943393707275
pythia-160m,draw_1,control,5,10.121996879577637,2.093381881713867,9.6299409866333
pythia-160m,draw_1,control,6,10.955709457397461,2.151214361190796,10.466364860534668
pythia-160m,draw_1,control,7,15.082399368286133,2.950422763824463,14.724842071533203
pythia-160m,draw_1,control,8,21.51776123046875,5.381807804107666,20.561824798583984
pythia-160m,draw_1,control,9,21.781755447387695,3.5995917320251465,21.79215431213379
pythia-160m,draw_1,control,10,20.488073348999023,2.1411242485046387,20.257179260253906
pythia-160m,draw_1,control,11,94.36985778808594,10.436116218566895,94.35187530517578
pythia-160m,draw_2,low,0,9.911301612854004,0.714693546295166,9.874176025390625
pythia-160m,draw_2,low,1,5.49498176574707,0.8358892798423767,5.49649715423584
pythia-160m,draw_2,low,2,6.333609580993652,0.5857802033424377,6.411447048187256
pythia-160m,draw_2,low,3,6.623867034912109,0.5256597399711609,6.643836498260498
pythia-160m,draw_2,low,4,6.956803321838379,0.41131556034088135,6.933608531951904
pythia-160m,draw_2,low,5,9.760537147521973,0.8249767422676086,9.682726860046387
pythia-160m,draw_2,low,6,10.799062728881836,1.6228954792022705,10.654030799865723
pythia-160m,draw_2,low,7,13.6285982131958,1.959106683731079,13.42384147644043
pythia-160m,draw_2,low,8,24.88791275024414,5.892521381378174,25.170391082763672
pythia-160m,draw_2,low,9,21.432878494262695,2.3024706840515137,21.48849105834961
pythia-160m,draw_2,low,10,18.472152709960938,1.5959632396697998,18.45055389404297
pythia-160m,draw_2,low,11,88.45738220214844,10.569507598876953,88.3108901977539
pythia-160m,draw_2,medium,0,9.278976440429688,0.6670430302619934,9.236091613769531
pythia-160m,draw_2,medium,1,5.431817531585693,0.774906575679779,5.405137538909912
pythia-160m,draw_2,medium,2,6.337939262390137,0.5717023611068726,6.302778720855713
pythia-160m,draw_2,medium,3,6.362186431884766,0.4306861460208893,6.420286178588867
pythia-160m,draw_2,medium,4,6.815129280090332,0.3894237279891968,6.815046310424805
pythia-160m,draw_2,medium,5,9.811738014221191,1.1574701070785522,9.68286418914795
pythia-160m,draw_2,medium,6,10.83910846710205,1.8468937873840332,10.45334529876709
pythia-160m,draw_2,medium,7,13.92862606048584,2.199781656265259,13.533768653869629
pythia-160m,draw_2,medium,8,23.9823055267334,6.411078453063965,23.86389923095703
pythia-160m,draw_2,medium,9,21.252422332763672,2.9734432697296143,21.87607192993164
pythia-160m,draw_2,medium,10,18.795467376708984,1.579528570175171,18.77089500427246
pythia-160m,draw_2,medium,11,92.77519989013672,10.550810813903809,91.85748291015625
pythia-160m,draw_2,high,0,8.56543254852295,0.5887777805328369,8.51415729522705
pythia-160m,draw_2,high,1,5.298949718475342,0.6289075613021851,5.267010688781738
pythia-160m,draw_2,high,2,6.2960968017578125,0.6132665276527405,6.22047233581543
pythia-160m,draw_2,high,3,6.209814548492432,0.47390490770339966,6.1356072425842285
pythia-160m,draw_2,high,4,6.790098667144775,0.41731882095336914,6.777400970458984
pythia-160m,draw_2,high,5,10.000802993774414,1.572559118270874,9.694254875183105
pythia-160m,draw_2,high,6,10.998323440551758,2.0802483558654785,10.737338066101074
pythia-160m,draw_2,high,7,15.068424224853516,2.7902519702911377,14.785442352294922
pythia-160m,draw_2,high,8,22.92058753967285,5.833364009857178,22.762041091918945
pythia-160m,draw_2,high,9,21.741350173950195,3.31973934173584,21.796497344970703
