model,draw,band,layer,mean_logit_contrib,std_logit_contrib,median_logit_contrib,method
pythia-410m,draw_2,medium,17,0.17533162236213684,0.3480565845966339,0.11887279152870178,direct
pythia-410m,draw_2,medium,18,-0.06907468289136887,0.3893721103668213,-0.09693701565265656,direct
pythia-410m,draw_2,medium,19,0.10812952369451523,0.34123116731643677,0.0974656343460083,direct
pythia-410m,draw_2,medium,20,0.12884670495986938,0.32845380902290344,0.1472979336977005,direct
pythia-410m,draw_2,medium,21,-0.05347418412566185,0.3749518394470215,-0.06530880928039551,direct
pythia-410m,draw_2,medium,22,0.5149132609367371,0.43112504482269287,0.5535098910331726,direct
pythia-410m,draw_2,medium,23,2.8277266025543213,0.648090124130249,2.8737056255340576,direct
pythia-410m,draw_2,high,0,0.01678314059972763,0.2642497420310974,0.014229729771614075,direct
pythia-410m,draw_2,high,1,-0.012551845982670784,0.13678674399852753,-0.008775755763053894,direct
pythia-410m,draw_2,high,2,-0.02194690704345703,0.1283346712589264,-0.01703856885433197,direct
pythia-410m,draw_2,high,3,0.00669482396915555,0.1440686285495758,0.0046454742550849915,direct
pythia-410m,draw_2,high,4,0.007472607307136059,0.16921275854110718,0.006648734211921692,direct
pythia-410m,draw_2,high,5,0.027324074879288673,0.19436238706111908,0.027568481862545013,direct
pythia-410m,draw_2,high,6,0.016346653923392296,0.1633528620004654,0.007914332672953606,direct
pythia-410m,draw_2,high,7,-0.023778285831212997,0.18554610013961792,-0.012232571840286255,direct
pythia-410m,draw_2,high,8,0.030494950711727142,0.24462595582008362,0.028606466948986053,direct
pythia-410m,draw_2,high,9,-0.03462006151676178,0.2698081433773041,-0.04702240228652954,direct
pythia-410m,draw_2,high,10,-0.0427103117108345,0.21376293897628784,-0.04959416389465332,direct
pythia-410m,draw_2,high,11,-0.12045203149318695,0.22326485812664032,-0.10966439545154572,direct
pythia-410m,draw_2,high,12,-0.11671493202447891,0.17287053167819977,-0.10861600935459137,direct
pythia-410m,draw_2,high,13,-0.06681589782238007,0.2630555033683777,-0.058002397418022156,direct
pythia-410m,draw_2,high,14,0.03518447279930115,0.22005078196525574,0.02969842404127121,direct
pythia-410m,draw_2,high,15,0.09177637845277786,0.21502692997455597,0.09037554264068604,direct
pythia-410m,draw_2,high,16,-0.07387815415859222,0.23263704776763916,-0.07927674055099487,direct
pythia-410m,draw_2,high,17,0.12608155608177185,0.27334773540496826,0.13114729523658752,direct
pythia-410m,draw_2,high,18,0.019743993878364563,0.26857227087020874,0.019797101616859436,direct
pythia-410m,draw_2,high,19,0.15571832656860352,0.3375649154186249,0.1545773148536682,direct
pythia-410m,draw_2,high,20,0.15487457811832428,0.24440649151802063,0.15345171093940735,direct
pythia-410m,draw_2,high,21,0.06968990713357925,0.34967106580734253,0.07653898000717163,direct
pythia-410m,draw_2,high,22,0.5784124732017517,0.36097684502601624,0.6073520183563232,direct
pythia-410m,draw_2,high,23,2.8449954986572266,0.689079225063324,2.8793938159942627,direct
pythia-410m,draw_2,very_high,0,-0.017675157636404037,0.23119999468326569,-0.02099306508898735,direct
pythia-410m,draw_2,very_high,1,-0.017429109662771225,0.12029837816953659,-0.020398687571287155,direct
pythia-410m,draw_2,very_high,2,-0.03614559769630432,0.15118226408958435,-0.029649317264556885,direct
pythia-410m,draw_2,very_high,3,0.01400070358067751,0.15641142427921295,0.013382047414779663,direct
pythia-410m,draw_2,very_high,4,0.04019956663250923,0.15436692535877228,0.030828259885311127,direct
pythia-410m,draw_2,very_high,5,0.04161519929766655,0.20588555932044983,0.027182750403881073,direct
pythia-410m,draw_2,very_high,6,0.00888404343277216,0.15333715081214905,0.013595730066299438,direct
pythia-410m,draw_2,very_high,7,-0.05028446018695831,0.18629972636699677,-0.06504980474710464,direct
pythia-410m,draw_2,very_high,8,-0.02320384979248047,0.2400583177804947,-0.021359629929065704,direct
pythia-410m,draw_2,very_high,9,-0.004594104364514351,0.2709578573703766,-0.018073737621307373,direct
