model,draw,band,layer,head,entropy_mean,entropy_std,entropy_median
pythia-1b,draw_1,very_high,11,2,1.9322501420974731,0.5389363765716553,1.9025583267211914
pythia-1b,draw_1,very_high,11,3,2.2506744861602783,0.4126835763454437,2.3001437187194824
pythia-1b,draw_1,very_high,11,4,3.0432183742523193,0.5117993950843811,3.1081156730651855
pythia-1b,draw_1,very_high,11,5,2.711477518081665,0.5030397772789001,2.767733097076416
pythia-1b,draw_1,very_high,11,6,1.9116381406784058,0.5292613506317139,1.9039037227630615
pythia-1b,draw_1,very_high,11,7,2.0525341033935547,0.5600898861885071,2.0785508155822754
pythia-1b,draw_1,very_high,12,0,1.3909341096878052,0.5211125612258911,1.2658801078796387
pythia-1b,draw_1,very_high,12,1,2.240713119506836,0.4765804409980774,2.286506175994873
pythia-1b,draw_1,very_high,12,2,3.6156575679779053,0.3917526304721832,3.6905455589294434
pythia-1b,draw_1,very_high,12,3,2.5130529403686523,0.62138432264328,2.6500868797302246
pythia-1b,draw_1,very_high,12,4,2.9906885623931885,0.3958059847354889,3.055698871612549
pythia-1b,draw_1,very_high,12,5,1.902875542640686,0.5394691228866577,1.9023094177246094
pythia-1b,draw_1,very_high,12,6,2.518103837966919,0.5348618030548096,2.5556843280792236
pythia-1b,draw_1,very_high,12,7,1.6209981441497803,0.5153403878211975,1.6192930936813354
pythia-1b,draw_1,very_high,13,0,3.585200786590576,0.21598942577838898,3.6154472827911377
pythia-1b,draw_1,very_high,13,1,1.65413236618042,0.6327807307243347,1.6485097408294678
pythia-1b,draw_1,very_high,13,2,1.2538349628448486,0.4377322494983673,1.23313307762146
pythia-1b,draw_1,very_high,13,3,3.367109537124634,0.35883939266204834,3.4224019050598145
pythia-1b,draw_1,very_high,13,4,2.8895821571350098,0.5797874927520752,2.9101881980895996
pythia-1b,draw_1,very_high,13,5,1.5927143096923828,0.44526201486587524,1.5771682262420654
pythia-1b,draw_1,very_high,13,6,3.2061960697174072,0.5434086322784424,3.3362817764282227
pythia-1b,draw_1,very_high,13,7,2.4074034690856934,0.623311460018158,2.4596431255340576
pythia-1b,draw_1,very_high,14,0,3.1673941612243652,0.4663318991661072,3.288320779800415
