model,draw,band,layer,mean_kl,median_kl,std_kl
pythia-410m,draw_1,medium,19,1.4233424663543701,1.2859936952590942,0.8044916987419128
pythia-410m,draw_1,medium,20,1.5178238153457642,1.3609925508499146,0.8814090490341187
pythia-410m,draw_1,medium,21,0.7071380615234375,0.6427194476127625,0.4531118869781494
pythia-410m,draw_1,medium,22,0.3398851752281189,0.258365660905838,0.297751247882843
pythia-410m,draw_1,medium,23,0.0,0.0,0.0
pythia-410m,draw_1,high,0,10.167891502380371,9.855104446411133,2.719815254211426
pythia-410m,draw_1,high,1,9.905311584472656,9.71183967590332,2.5985209941864014
pythia-410m,draw_1,high,2,9.767512321472168,9.427504539489746,2.604600667953491
pythia-410m,draw_1,high,3,9.509661674499512,9.20928955078125,2.5879828929901123
pythia-410m,draw_1,high,4,9.417895317077637,9.083205223083496,2.6410574913024902
pythia-410m,draw_1,high,5,9.538464546203613,9.18660831451416,2.778953790664673
pythia-410m,draw_1,high,6,9.100533485412598,8.613391876220703,2.6916167736053467
pythia-410m,draw_1,high,7,8.810760498046875,8.460360527038574,2.5746102333068848
pythia-410m,draw_1,high,8,8.96910572052002,8.685203552246094,2.675889492034912
pythia-410m,draw_1,high,9,8.316875457763672,7.8854546546936035,2.393613576889038
pythia-410m,draw_1,high,10,6.843400955200195,6.4029541015625,2.1279821395874023
pythia-410m,draw_1,high,11,5.304903030395508,5.132572174072266,1.7559537887573242
pythia-410m,draw_1,high,12,5.587322235107422,5.408087730407715,1.7558879852294922
pythia-410m,draw_1,high,13,5.32503080368042,4.952652454376221,1.6460286378860474
pythia-410m,draw_1,high,14,5.083272457122803,4.9005584716796875,1.60369074344635
pythia-410m,draw_1,high,15,4.120666980743408,4.036284923553467,1.458410620689392
pythia-410m,draw_1,high,16,1.8713080883026123,1.775761365890503,1.0678839683532715
pythia-410m,draw_1,high,17,1.6942585706710815,1.4041471481323242,1.2184674739837646
pythia-410m,draw_1,high,18,1.2805527448654175,1.1159430742263794,0.7999261617660522
pythia-410m,draw_1,high,19,0.92668217420578,0.7702771425247192,0.5772033929824829
pythia-410m,draw_1,high,20,0.9040148854255676,0.7340465188026428,0.6345458626747131
pythia-410m,draw_1,high,21,0.5854931473731995,0.4951835572719574,0.4081539809703827
pythia-410m,draw_1,high,22,0.49378499388694763,0.39407604932785034,0.36927494406700134
pythia-410m,draw_1,high,23,0.0,0.0,0.0
pythia-410m,draw_1,very_high,0,9.90145206451416,9.599034309387207,2.6706702709198
pythia-410m,draw_1,very_high,1,9.637225151062012,9.339056015014648,2.4954304695129395
pythia-410m,draw_1,very_high,2,9.504011154174805,9.13770580291748,2.466277599334717
pythia-410m,draw_1,very_high,3,9.22871208190918,8.87428092956543,2.531365156173706
pythia-410m,draw_1,very_high,4,9.09886646270752,8.68688678741455,2.5062663555145264
pythia-410m,draw_1,very_high,5,8.85428237915039,8.585290908813477,2.5883779525756836
pythia-410m,draw_1,very_high,6,8.427102088928223,8.292763710021973,2.5757055282592773
pythia-410m,draw_1,very_high,7,8.542463302612305,8.29614543914795,2.700974702835083
pythia-410m,draw_1,very_high,8,8.676146507263184,8.333883285522461,2.7971436977386475
pythia-410m,draw_1,very_high,9,8.043780326843262,7.772025108337402,2.508437395095825
pythia-410m,draw_1,very_high,10,6.384491443634033,6.086678504943848,2.205660581588745
pythia-410m,draw_1,very_high,11,4.754154682159424,4.679066181182861,1.7716151475906372
pythia-410m,draw_1,very_high,12,5.252040863037109,5.07282829284668,1.8283543586730957
pythia-410m,draw_1,very_high,13,4.958315849304199,4.77843713760376,1.6857631206512451
pythia-410m,draw_1,very_high,14,4.889182090759277,4.908632278442383,1.6732603311538696
