model,draw,band,layer,mean_rank,median_rank,frac_top1,frac_top5
pythia-160m,draw_2,very_high,3,8543.026666666667,5450.0,0.0,0.0
pythia-160m,draw_2,very_high,4,1980.3555555555556,702.0,0.0044444444444444444,0.022222222222222223
pythia-160m,draw_2,very_high,5,478.2,39.0,0.10222222222222223,0.24888888888888888
pythia-160m,draw_2,very_high,6,479.44,51.0,0.08888888888888889,0.24888888888888888
pythia-160m,draw_2,very_high,7,403.26666666666665,54.0,0.1111111111111111,0.24444444444444444
pythia-160m,draw_2,very_high,8,60.13777777777778,4.0,0.32,0.5066666666666667
pythia-160m,draw_2,very_high,9,12.782222222222222,0.0,0.6533333333333333,0.8488888888888889
pythia-160m,draw_2,very_high,10,0.9688888888888889,0.0,0.8266666666666667,0.9733333333333334
pythia-160m,draw_2,very_high,11,0.04888888888888889,0.0,0.9688888888888889,1.0
pythia-160m,draw_2,control,0,11102.92,7944.0,0.0,0.0044444444444444444
pythia-160m,draw_2,control,1,9874.791111111112,7226.0,0.0,0.0044444444444444444
pythia-160m,draw_2,control,2,8883.048888888889,6335.0,0.0,0.0
pythia-160m,draw_2,control,3,9166.75111111111,5920.0,0.0,0.0
pythia-160m,draw_2,control,4,2990.44,764.0,0.0044444444444444444,0.03111111111111111
pythia-160m,draw_2,control,5,515.6488888888889,58.0,0.09777777777777778,0.25333333333333335
pythia-160m,draw_2,control,6,620.2088888888889,44.0,0.09333333333333334,0.2222222222222222
pythia-160m,draw_2,control,7,478.5288888888889,46.0,0.10222222222222223,0.24
pythia-160m,draw_2,control,8,111.4088888888889,2.0,0.36444444444444446,0.6
pythia-160m,draw_2,control,9,20.177777777777777,0.0,0.6844444444444444,0.88
pythia-160m,draw_2,control,10,1.3244444444444445,0.0,0.8266666666666667,0.9555555555555556
pythia-160m,draw_2,control,11,0.03111111111111111,0.0,0.9733333333333334,1.0
pythia-160m,draw_3,low,0,16016.00888888889,13214.0,0.0,0.0
pythia-160m,draw_3,low,1,15600.697777777777,13230.0,0.0,0.0
pythia-160m,draw_3,low,2,15520.835555555555,13462.0,0.0,0.0
pythia-160m,draw_3,low,3,17880.453333333335,15192.0,0.0,0.0
pythia-160m,draw_3,low,4,6971.057777777778,4249.0,0.0,0.0
pythia-160m,draw_3,low,5,1688.1955555555555,428.0,0.02666666666666667,0.07555555555555556
pythia-160m,draw_3,low,6,2311.8444444444444,837.0,0.017777777777777778,0.05333333333333334
pythia-160m,draw_3,low,7,1964.391111111111,788.0,0.0044444444444444444,0.044444444444444446
pythia-160m,draw_3,low,8,358.55555555555554,14.0,0.19111111111111112,0.37333333333333335
pythia-160m,draw_3,low,9,72.12444444444445,1.0,0.4444444444444444,0.64
pythia-160m,draw_3,low,10,13.235555555555555,0.0,0.6444444444444445,0.8711111111111111
pythia-160m,draw_3,low,11,0.21777777777777776,0.0,0.9288888888888889,0.9866666666666667
pythia-160m,draw_3,medium,0,14386.937777777777,11935.0,0.0,0.0044444444444444444
pythia-160m,draw_3,medium,1,13255.83111111111,11244.0,0.0,0.0
pythia-160m,draw_3,medium,2,12695.12,10054.0,0.0,0.0
pythia-160m,draw_3,medium,3,14110.862222222222,11792.0,0.0,0.0
pythia-160m,draw_3,medium,4,5323.488888888889,2651.0,0.0044444444444444444,0.0044444444444444444
pythia-160m,draw_3,medium,5,1150.1066666666666,230.0,0.04888888888888889,0.1288888888888889
pythia-160m,draw_3,medium,6,1309.5866666666666,331.0,0.017777777777777778,0.06666666666666667
pythia-160m,draw_3,medium,7,1290.2444444444445,312.0,0.0044444444444444444,0.08888888888888889
pythia-160m,draw_3,medium,8,198.05333333333334,11.0,0.22666666666666666,0.40444444444444444
pythia-160m,draw_3,medium,9,21.546666666666667,0.0,0.5422222222222223,0.7911111111111111
pythia-160m,draw_3,medium,10,10.724444444444444,0.0,0.7555555555555555,0.9333333333333333
pythia-160m,draw_3,medium,11,0.19555555555555557,0.0,0.9555555555555556,0.9822222222222222
pythia-160m,draw_3,high,0,12367.32,9657.0,0.0,0.0
pythia-160m,draw_3,high,1,11201.146666666667,8496.0,0.0,0.0
pythia-160m,draw_3,high,2,11232.573333333334,8377.0,0.0,0.0
pythia-160m,draw_3,high,3,12077.906666666666,9291.0,0.0,0.0044444444444444444
pythia-160m,draw_3,high,4,3907.871111111111,1852.0,0.008888888888888889,0.013333333333333334
pythia-160m,draw_3,high,5,597.9955555555556,115.0,0.06666666666666667,0.16
pythia-160m,draw_3,high,6,641.5466666666666,146.0,0.044444444444444446,0.12444444444444444
pythia-160m,draw_3,high,7,601.7422222222223,119.0,0.04,0.12444444444444444
pythia-160m,draw_3,high,8,129.18666666666667,5.0,0.26222222222222225,0.47555555555555556
pythia-160m,draw_3,high,9,17.808888888888887,0.0,0.6577777777777778,0.8666666666666667
pythia-160m,draw_3,high,10,1.991111111111111,0.0,0.84,0.9333333333333333
pythia-160m,draw_3,high,11,0.1688888888888889,0.0,0.9511111111111111,0.9955555555555555
pythia-160m,draw_3,very_high,0,10588.217777777778,7430.0,0.0,0.0
pythia-160m,draw_3,very_high,1,8352.07111111111,5735.0,0.0,0.0
pythia-160m,draw_3,very_high,2,8482.884444444444,5701.0,0.0,0.008888888888888889
pythia-160m,draw_3,very_high,3,8675.724444444444,6897.0,0.0,0.0044444444444444444
pythia-160m,draw_3,very_high,4,2198.693333333333,665.0,0.022222222222222223,0.044444444444444446
pythia-160m,draw_3,very_high,5,466.5466666666667,51.0,0.13777777777777778,0.25333333333333335
pythia-160m,draw_3,very_high,6,429.04,44.0,0.13333333333333333,0.2311111111111111
pythia-160m,draw_3,very_high,7,290.3688888888889,36.0,0.1111111111111111,0.21777777777777776
pythia-160m,draw_3,very_high,8,76.47111111111111,2.0,0.37777777777777777,0.5688888888888889
pythia-160m,draw_3,very_high,9,19.15111111111111,0.0,0.6355555555555555,0.8311111111111111
pythia-160m,draw_3,very_high,10,2.3022222222222224,0.0,0.84,0.9733333333333334
pythia-160m,draw_3,very_high,11,0.05333333333333334,0.0,0.9644444444444444,1.0
pythia-160m,draw_3,control,0,10653.026666666667,7817.0,0.0,0.0044444444444444444
pythia-160m,draw_3,control,1,8550.693333333333,6713.0,0.0,0.0
pythia-160m,draw_3,control,2,8973.631111111112,6780.0,0.0,0.0044444444444444444
pythia-160m,draw_3,control,3,9180.08,5715.0,0.0,0.0044444444444444444
pythia-160m,draw_3,control,4,2655.782222222222,740.0,0.013333333333333334,0.04888888888888889
pythia-160m,draw_3,control,5,394.52444444444444,41.0,0.1111111111111111,0.24
pythia-160m,draw_3,control,6,486.1111111111111,49.0,0.1288888888888889,0.24444444444444444
pythia-160m,draw_3,control,7,369.5155555555556,30.0,0.1511111111111111,0.23555555555555555
pythia-160m,draw_3,control,8,57.81333333333333,2.0,0.38222222222222224,0.5911111111111111
pythia-160m,draw_3,control,9,9.057777777777778,0.0,0.7466666666666667,0.8933333333333333
pythia-160m,draw_3,control,10,0.6844444444444444,0.0,0.8533333333333334,0.9688888888888889
pythia-160m,draw_3,control,11,0.05333333333333334,0.0,0.9733333333333334,0.9955555555555555
pythia-410m,draw_1,low,0,24580.32888888889,24755.0,0.0,0.0
pythia-410m,draw_1,low,1,24513.297777777778,25529.0,0.0,0.0
