model,band,draw,threshold,n_edges,total_edges,size_fraction,base_accuracy,base_top5_accuracy,base_top10_accuracy,base_mean_correct_prob,circuit_accuracy,circuit_top5_accuracy,circuit_top10_accuracy,circuit_mean_correct_prob,circuit_kl_div,ablation_accuracy,ablation_top5_accuracy,ablation_top10_accuracy,ablation_mean_correct_prob,ablation_kl_div,retention_ratio,completeness,top1_top5_gap,frequency_rank,necessity_pass,training_time_seconds
pythia-1b,high,draw_3,0.00158,945,10009,0.09441502647617145,0.9866666666666667,0.9955555555555555,1.0,0.6723688594996929,0.9511111111111111,0.9911111111111112,0.9955555555555555,0.6036343111315121,0.4479084014892578,0.0,0.0,0.0,0.00036423545317423606,5.6457343101501465,0.963963963963964,1.0,0.040000000000000036,3.0,True,4067.2597658634186
pythia-1b,very_high,draw_1,0.00158,817,10009,0.08162653611749425,0.9866666666666667,1.0,1.0,0.5815671476225058,0.9288888888888889,0.9777777777777777,0.9822222222222222,0.4249226952685664,0.5041481852531433,0.0,0.008888888888888889,0.022222222222222223,0.000952709185664086,4.372128963470459,0.9414414414414414,1.0,0.04888888888888887,4.0,True,5215.531865358353
pythia-1b,very_high,draw_2,0.00158,911,10009,0.09101808372464781,0.9911111111111112,1.0,1.0,0.6167628332641389,0.9466666666666667,0.9955555555555555,1.0,0.4725354749833544,0.4560651481151581,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.000960616846213169,4.515535354614258,0.9551569506726457,0.9955555555555555,0.04888888888888887,4.0,True,4041.388770341873
pythia-1b,very_high,draw_3,0.00158,812,10009,0.08112698571285842,0.9955555555555555,1.0,1.0,0.5803758086305526,0.9333333333333333,0.9822222222222222,0.9866666666666667,0.478205791345487,0.480319619178772,0.0,0.0,0.008888888888888889,0.0008842847744803192,4.309576511383057,0.9375,1.0,0.04888888888888887,4.0,True,4068.1406710147858
pythia-1b,control,draw_1,0.00158,928,10009,0.09271655510040963,0.9866666666666667,1.0,1.0,0.6104180916895469,0.9422222222222222,0.9822222222222222,0.9866666666666667,0.47915719053811495,0.5651128888130188,0.0,0.0,0.0,0.0005178367627925379,4.956254482269287,0.9549549549549549,1.0,0.040000000000000036,,True,5246.939487695694
pythia-1b,control,draw_2,0.00158,823,10009,0.08222599660305725,0.9955555555555555,1.0,1.0,0.6253951636287901,0.9377777777777778,0.9866666666666667,0.9955555555555555,0.4934988881068097,0.518681526184082,0.0,0.0,0.0044444444444444444,0.0005571877951489215,5.119754791259766,0.9419642857142858,1.0,0.04888888888888887,,True,4042.4544060230255
pythia-1b,control,draw_3,0.00158,870,10009,0.08692177040663403,0.9866666666666667,1.0,1.0,0.6365445213350984,0.9422222222222222,0.9866666666666667,0.9955555555555555,0.5419881422238217,0.4286583960056305,0.0,0.0044444444444444444,0.013333333333333334,0.0006837126159659116,5.050905227661133,0.9549549549549549,1.0,0.04444444444444451,,True,4051.623375892639
pythia-1.4b,low,draw_1,0.000631,2507,80581,0.031111552351050495,0.9466666666666667,1.0,1.0,0.5388193902745843,0.8177777777777778,0.9555555555555556,0.9688888888888889,0.40188950584787464,0.5810007452964783,0.0,0.0044444444444444444,0.0044444444444444444,0.0001253160339721641,5.628305435180664,0.863849765258216,1.0,0.13777777777777778,1.0,True,49942.30018258095
pythia-1.4b,low,draw_2,0.000631,2589,80581,0.032129161961256376,0.9688888888888889,0.9955555555555555,0.9955555555555555,0.5839033646384875,0.8044444444444444,0.96,0.9777777777777777,0.32533819511688006,0.7107469439506531,0.0,0.0,0.0044444444444444444,0.000124107250706705,5.988682746887207,0.8302752293577981,1.0,0.15555555555555556,1.0,True,50154.15454697609
pythia-1.4b,low,draw_3,0.000631,2604,80581,0.032315310060684284,0.96,1.0,1.0,0.5533795586269763,0.7733333333333333,0.9333333333333333,0.96,0.41709276451270044,0.6475886106491089,0.0,0.0044444444444444444,0.0044444444444444444,0.00012519520044365764,5.758875370025635,0.8055555555555556,1.0,0.16000000000000003,1.0,True,49931.739845752716
