model,train_band,draw,test_band,same_band,n_examples,accuracy,mean_correct_prob,std_correct_prob,median_correct_prob
pythia-410m,control,draw_3,high,False,225,0.9777777777777777,0.43013085591296357,0.2604744803685041,0.40014320611953735
pythia-410m,control,draw_3,very_high,False,225,0.9511111111111111,0.43307158743393503,0.25241411206218367,0.42470505833625793
pythia-410m,control,draw_3,control,True,225,0.9777777777777777,0.469619870089098,0.24302729856473645,0.4491710960865021
pythia-1b,low,draw_1,low,True,225,0.8577777777777778,0.4549414214315928,0.3282047007701345,0.434878945350647
pythia-1b,low,draw_1,medium,False,225,0.9377777777777778,0.5959604147288742,0.3153165651399769,0.6552785038948059
pythia-1b,low,draw_1,high,False,225,0.9244444444444444,0.5915294886760724,0.3120283495279539,0.6618481874465942
pythia-1b,low,draw_1,very_high,False,225,0.9066666666666666,0.5191178572695289,0.31680803815965136,0.5073186755180359
pythia-1b,low,draw_1,control,False,225,0.9155555555555556,0.5014752966951993,0.3193871489640716,0.5115178227424622
pythia-1b,low,draw_2,low,True,225,0.9377777777777778,0.5660179208369098,0.3075090327040599,0.6003820300102234
pythia-1b,low,draw_2,medium,False,225,0.9511111111111111,0.6242852493561805,0.3065439723678196,0.7432619333267212
pythia-1b,low,draw_2,high,False,225,0.9466666666666667,0.5766844930466161,0.3184233814886389,0.6492493748664856
pythia-1b,low,draw_2,very_high,False,225,0.9066666666666666,0.448564174088339,0.2990384278365739,0.4182293713092804
pythia-1b,low,draw_2,control,False,225,0.92,0.5221434607835383,0.2966454267730505,0.5907053351402283
pythia-1b,low,draw_3,low,True,225,0.92,0.5748797462160473,0.31709793660679286,0.6439334750175476
pythia-1b,low,draw_3,medium,False,225,0.9333333333333333,0.6056122253473021,0.29813782958963075,0.6770429611206055
pythia-1b,low,draw_3,high,False,225,0.96,0.6415773346606228,0.2806053478417908,0.7224995493888855
pythia-1b,low,draw_3,very_high,False,225,0.9111111111111111,0.49502087351762586,0.3067712428509866,0.4957536458969116
pythia-1b,low,draw_3,control,False,225,0.9511111111111111,0.560341221133454,0.3013806886707673,0.5785002112388611
pythia-1b,medium,draw_1,low,False,225,0.9111111111111111,0.45168538165899613,0.30088661464282873,0.46843016147613525
pythia-1b,medium,draw_1,medium,True,225,0.9466666666666667,0.5310646339873266,0.30715146309639196,0.5184316635131836
pythia-1b,medium,draw_1,high,False,225,0.9288888888888889,0.5089251187024638,0.31561882062860075,0.5412360429763794
