node,node_type,layer,in_degree,out_degree,total_degree,model,band,draw
M2,mlp,2,14,18,32,pythia-70m,medium,draw_3
A3.0,attn,3,8,3,11,pythia-70m,medium,draw_3
A3.1,attn,3,23,8,31,pythia-70m,medium,draw_3
A3.2,attn,3,3,2,5,pythia-70m,medium,draw_3
A3.3,attn,3,23,4,27,pythia-70m,medium,draw_3
A3.4,attn,3,13,7,20,pythia-70m,medium,draw_3
A3.5,attn,3,13,3,16,pythia-70m,medium,draw_3
A3.6,attn,3,12,8,20,pythia-70m,medium,draw_3
A3.7,attn,3,3,3,6,pythia-70m,medium,draw_3
M3,mlp,3,24,10,34,pythia-70m,medium,draw_3
A4.0,attn,4,0,2,2,pythia-70m,medium,draw_3
A4.1,attn,4,1,1,2,pythia-70m,medium,draw_3
A4.2,attn,4,6,2,8,pythia-70m,medium,draw_3
A4.4,attn,4,5,2,7,pythia-70m,medium,draw_3
A4.5,attn,4,1,1,2,pythia-70m,medium,draw_3
A4.6,attn,4,1,2,3,pythia-70m,medium,draw_3
A4.7,attn,4,14,4,18,pythia-70m,medium,draw_3
M4,mlp,4,34,6,40,pythia-70m,medium,draw_3
A5.0,attn,5,6,1,7,pythia-70m,medium,draw_3
A5.1,attn,5,1,1,2,pythia-70m,medium,draw_3
A5.2,attn,5,5,1,6,pythia-70m,medium,draw_3
A5.3,attn,5,11,1,12,pythia-70m,medium,draw_3
A5.5,attn,5,0,1,1,pythia-70m,medium,draw_3
A5.7,attn,5,11,1,12,pythia-70m,medium,draw_3
M5,mlp,5,40,1,41,pythia-70m,medium,draw_3
M0,mlp,0,1,37,38,pythia-70m,high,draw_1
A5.0,attn,5,6,1,7,pythia-70m,high,draw_1
M1,mlp,1,10,29,39,pythia-70m,high,draw_1
A2.1,attn,2,4,14,18,pythia-70m,high,draw_1
M2,mlp,2,11,18,29,pythia-70m,high,draw_1
M3,mlp,3,24,10,34,pythia-70m,high,draw_1
M4,mlp,4,35,8,43,pythia-70m,high,draw_1
A5.1,attn,5,4,1,5,pythia-70m,high,draw_1
A5.2,attn,5,8,1,9,pythia-70m,high,draw_1
A3.1,attn,3,24,9,33,pythia-70m,high,draw_1
A3.6,attn,3,13,9,22,pythia-70m,high,draw_1
A5.3,attn,5,11,1,12,pythia-70m,high,draw_1
A2.6,attn,2,8,12,20,pythia-70m,high,draw_1
A2.7,attn,2,9,11,20,pythia-70m,high,draw_1
A3.5,attn,3,14,4,18,pythia-70m,high,draw_1
A5.5,attn,5,1,1,2,pythia-70m,high,draw_1
A5.7,attn,5,10,1,11,pythia-70m,high,draw_1
A3.3,attn,3,22,4,26,pythia-70m,high,draw_1
A3.4,attn,3,14,6,20,pythia-70m,high,draw_1
A4.7,attn,4,15,3,18,pythia-70m,high,draw_1
A4.0,attn,4,1,2,3,pythia-70m,high,draw_1
A4.2,attn,4,6,2,8,pythia-70m,high,draw_1
A4.4,attn,4,5,2,7,pythia-70m,high,draw_1
A4.6,attn,4,4,2,6,pythia-70m,high,draw_1
A0.3,attn,0,1,23,24,pythia-70m,high,draw_1
A0.5,attn,0,1,16,17,pythia-70m,high,draw_1
A1.1,attn,1,4,11,15,pythia-70m,high,draw_1
A2.3,attn,2,5,9,14,pythia-70m,high,draw_1
A2.4,attn,2,7,10,17,pythia-70m,high,draw_1
embed,embed,-1,0,19,19,pythia-70m,high,draw_1
A0.0,attn,0,1,7,8,pythia-70m,high,draw_1
A0.1,attn,0,1,13,14,pythia-70m,high,draw_1
A0.2,attn,0,1,6,7,pythia-70m,high,draw_1
A0.4,attn,0,1,16,17,pythia-70m,high,draw_1
A0.6,attn,0,1,2,3,pythia-70m,high,draw_1
A0.7,attn,0,1,17,18,pythia-70m,high,draw_1
