model,band,draw,layer,head,js_divergence
pythia-70m,very_high,draw_1,3,4,0.0
pythia-70m,very_high,draw_1,3,5,0.0
pythia-70m,very_high,draw_1,3,6,0.0
pythia-70m,very_high,draw_1,3,7,0.0
pythia-70m,very_high,draw_1,4,0,0.0
pythia-70m,very_high,draw_1,4,1,0.0
pythia-70m,very_high,draw_1,4,2,0.0
pythia-70m,very_high,draw_1,4,3,0.0
pythia-70m,very_high,draw_1,4,4,0.0
pythia-70m,very_high,draw_1,4,5,0.0
pythia-70m,very_high,draw_1,4,6,0.0
pythia-70m,very_high,draw_1,4,7,0.0
pythia-70m,very_high,draw_1,5,0,0.0021605773150231338
pythia-70m,very_high,draw_1,5,1,0.003025949545499432
pythia-70m,very_high,draw_1,5,2,0.003481744640344428
pythia-70m,very_high,draw_1,5,3,0.005820483038791222
pythia-70m,very_high,draw_1,5,4,0.0010620918051898096
pythia-70m,very_high,draw_1,5,5,0.0023952194487935753
pythia-70m,very_high,draw_1,5,6,0.015821874358939846
pythia-70m,very_high,draw_1,5,7,0.002677895744213779
pythia-70m,very_high,draw_2,0,0,0.0
pythia-70m,very_high,draw_2,0,1,0.0
pythia-70m,very_high,draw_2,0,2,0.0
pythia-70m,very_high,draw_2,0,3,0.0
pythia-70m,very_high,draw_2,0,4,0.0
pythia-70m,very_high,draw_2,0,5,0.0
pythia-70m,very_high,draw_2,0,6,0.0
pythia-70m,very_high,draw_2,0,7,0.0
pythia-70m,very_high,draw_2,1,0,0.0
pythia-70m,very_high,draw_2,1,1,0.0
pythia-70m,very_high,draw_2,1,2,0.0
pythia-70m,very_high,draw_2,1,3,0.0
pythia-70m,very_high,draw_2,1,4,0.0
pythia-70m,very_high,draw_2,1,5,0.0
pythia-70m,very_high,draw_2,1,6,0.0
pythia-70m,very_high,draw_2,1,7,0.0
pythia-70m,very_high,draw_2,2,0,0.0
pythia-70m,very_high,draw_2,2,1,0.0
pythia-70m,very_high,draw_2,2,2,0.0
pythia-70m,very_high,draw_2,2,3,0.0
pythia-70m,very_high,draw_2,2,4,0.0
pythia-70m,very_high,draw_2,2,5,0.0
pythia-70m,very_high,draw_2,2,6,0.0
pythia-70m,very_high,draw_2,2,7,0.0
pythia-70m,very_high,draw_2,3,0,0.0
pythia-70m,very_high,draw_2,3,1,0.0
pythia-70m,very_high,draw_2,3,2,0.0
pythia-70m,very_high,draw_2,3,3,0.0
pythia-70m,very_high,draw_2,3,4,0.0
pythia-70m,very_high,draw_2,3,5,0.0
pythia-70m,very_high,draw_2,3,6,0.0
pythia-70m,very_high,draw_2,3,7,0.0
pythia-70m,very_high,draw_2,4,0,0.0
pythia-70m,very_high,draw_2,4,1,0.0
pythia-70m,very_high,draw_2,4,2,0.0
pythia-70m,very_high,draw_2,4,3,0.0
pythia-70m,very_high,draw_2,4,4,0.0
pythia-70m,very_high,draw_2,4,5,0.0
pythia-70m,very_high,draw_2,4,6,0.0
pythia-70m,very_high,draw_2,4,7,0.0
pythia-70m,very_high,draw_2,5,0,0.0024037769305080814
pythia-70m,very_high,draw_2,5,1,0.005839867952625173
pythia-70m,very_high,draw_2,5,2,0.002313424406916988
pythia-70m,very_high,draw_2,5,3,0.00587076827852048
pythia-70m,very_high,draw_2,5,4,0.00910240924755632
pythia-70m,very_high,draw_2,5,5,0.0019462060566115828
pythia-70m,very_high,draw_2,5,6,0.022931409073396435
pythia-70m,very_high,draw_2,5,7,0.0043679999438573916
pythia-70m,very_high,draw_3,0,0,0.0
pythia-70m,very_high,draw_3,0,1,0.0
pythia-70m,very_high,draw_3,0,2,0.0
pythia-70m,very_high,draw_3,0,3,0.0
pythia-70m,very_high,draw_3,0,4,0.0
pythia-70m,very_high,draw_3,0,5,0.0
pythia-70m,very_high,draw_3,0,6,0.0
pythia-70m,very_high,draw_3,0,7,0.0
pythia-70m,very_high,draw_3,1,0,0.0
pythia-70m,very_high,draw_3,1,1,0.0
pythia-70m,very_high,draw_3,1,2,0.0
pythia-70m,very_high,draw_3,1,3,0.0
pythia-70m,very_high,draw_3,1,4,0.0
pythia-70m,very_high,draw_3,1,5,0.0
