model,draw,band,layer,head,entropy_base,entropy_circuit,delta_entropy
pythia-70m,draw_1,very_high,4,5,1.0705868005752563,1.0705868005752563,0.0
pythia-70m,draw_1,very_high,4,6,0.4429956078529358,0.4429956078529358,0.0
pythia-70m,draw_1,very_high,4,7,0.753361701965332,0.753361701965332,0.0
pythia-70m,draw_1,very_high,5,0,0.5752266645431519,0.5747616291046143,-0.00046503543853759766
pythia-70m,draw_1,very_high,5,1,0.5873148441314697,0.5919833183288574,0.004668474197387695
pythia-70m,draw_1,very_high,5,2,0.2461607158184051,0.24779367446899414,0.0016329586505890448
pythia-70m,draw_1,very_high,5,3,0.2271057814359665,0.2315201312303543,0.004414349794387817
pythia-70m,draw_1,very_high,5,4,0.0801083594560623,0.07784886658191681,-0.002259492874145494
pythia-70m,draw_1,very_high,5,5,0.3171460032463074,0.31675007939338684,-0.0003959238529205322
pythia-70m,draw_1,very_high,5,6,0.1301994770765304,0.1385042667388916,0.0083047896623612
pythia-70m,draw_1,very_high,5,7,0.5203439593315125,0.5237529277801514,0.003408968448638916
pythia-70m,draw_1,control,0,0,3.87177848815918,3.8717784881591797,-4.440892098500626e-16
pythia-70m,draw_1,control,0,1,2.5162506103515625,2.5162506103515625,0.0
pythia-70m,draw_1,control,0,2,2.201347827911377,2.201347827911377,0.0
pythia-70m,draw_1,control,0,3,0.7917792201042175,0.7917792201042175,0.0
pythia-70m,draw_1,control,0,4,2.190016746520996,2.190016746520996,0.0
pythia-70m,draw_1,control,0,5,1.9153127670288088,1.9153127670288086,-2.220446049250313e-16
pythia-70m,draw_1,control,0,6,2.0507280826568604,2.0507280826568604,0.0
pythia-70m,draw_1,control,0,7,2.0714497566223145,2.0714497566223145,0.0
pythia-70m,draw_1,control,1,0,3.5763633251190186,3.5763633251190186,0.0
pythia-70m,draw_1,control,1,1,2.2061188220977783,2.2061188220977783,0.0
pythia-70m,draw_1,control,1,2,2.342315435409546,2.342315435409546,0.0
pythia-70m,draw_1,control,1,3,3.003713607788086,3.003713607788086,0.0
pythia-70m,draw_1,control,1,4,3.4482717514038086,3.4482717514038086,0.0
pythia-70m,draw_1,control,1,5,3.103215217590332,3.103215217590332,0.0
pythia-70m,draw_1,control,1,6,3.338016986846924,3.338016986846924,0.0
pythia-70m,draw_1,control,1,7,1.9467288255691528,1.9467288255691528,0.0
pythia-70m,draw_1,control,2,0,3.350341320037842,3.366126775741577,0.01578545570373535
pythia-70m,draw_1,control,2,1,0.7343660593032837,0.7227360010147095,-0.011630058288574219
pythia-70m,draw_1,control,2,2,3.7644758224487305,3.7757153511047363,0.01123952865600586
pythia-70m,draw_1,control,2,3,3.236436605453491,3.2394590377807617,0.003022432327270508
pythia-70m,draw_1,control,2,4,2.027993679046631,2.0212459564208984,-0.006747722625732422
pythia-70m,draw_1,control,2,5,3.8349575996398926,3.840250015258789,0.005292415618896484
pythia-70m,draw_1,control,2,6,1.423962116241455,1.390904426574707,-0.03305768966674805
pythia-70m,draw_1,control,2,7,2.725611448287964,2.72316837310791,-0.002443075180053711
pythia-70m,draw_1,control,3,0,1.7465869188308716,1.7629176378250122,0.016330718994140625
pythia-70m,draw_1,control,3,1,0.7676398158073425,0.7452279925346375,-0.022411823272705078
pythia-70m,draw_1,control,3,2,3.894279956817627,3.888237237930298,-0.0060427188873291016
pythia-70m,draw_1,control,3,3,2.573763608932495,2.6199402809143066,0.04617667198181152
pythia-70m,draw_1,control,3,4,3.0257797241210938,3.0322725772857666,0.0064928531646728516
