model,draw,band,layer,head,entropy_mean,entropy_std,entropy_median
pythia-70m,draw_1,control,0,1,2.5162506103515625,0.3221714198589325,2.5103275775909424
pythia-70m,draw_1,control,0,2,2.201347827911377,0.6196774840354919,2.201241970062256
pythia-70m,draw_1,control,0,3,0.7917792201042175,0.21595007181167603,0.7902548313140869
pythia-70m,draw_1,control,0,4,2.190016746520996,0.5472044944763184,2.2181882858276367
pythia-70m,draw_1,control,0,5,1.9153127670288086,0.6033303141593933,1.8866013288497925
pythia-70m,draw_1,control,0,6,2.0507280826568604,0.34284695982933044,2.0414814949035645
pythia-70m,draw_1,control,0,7,2.0714497566223145,0.6860692501068115,2.158480167388916
pythia-70m,draw_1,control,1,0,3.5763633251190186,0.28053930401802063,3.6218924522399902
pythia-70m,draw_1,control,1,1,2.2061188220977783,0.3732205629348755,2.2104015350341797
pythia-70m,draw_1,control,1,2,2.342315435409546,0.5479335784912109,2.382051706314087
pythia-70m,draw_1,control,1,3,3.003713607788086,0.2624746263027191,2.9993765354156494
pythia-70m,draw_1,control,1,4,3.4482717514038086,0.26627713441848755,3.4632210731506348
pythia-70m,draw_1,control,1,5,3.103215217590332,0.4015570878982544,3.174781322479248
pythia-70m,draw_1,control,1,6,3.338016986846924,0.44602224230766296,3.413322925567627
pythia-70m,draw_1,control,1,7,1.9467288255691528,0.5224297642707825,1.966726303100586
pythia-70m,draw_1,control,2,0,3.350341320037842,0.3803173005580902,3.4306154251098633
pythia-70m,draw_1,control,2,1,0.7343660593032837,0.24528545141220093,0.7211323976516724
pythia-70m,draw_1,control,2,2,3.7644758224487305,0.16939693689346313,3.7885043621063232
pythia-70m,draw_1,control,2,3,3.236436605453491,0.5333547592163086,3.3823840618133545
pythia-70m,draw_1,control,2,4,2.027993679046631,0.6687173247337341,2.1185455322265625
pythia-70m,draw_1,control,2,5,3.8349575996398926,0.20597220957279205,3.874558925628662
pythia-70m,draw_1,control,2,6,1.423962116241455,0.49302729964256287,1.426079511642456
pythia-70m,draw_1,control,2,7,2.725611448287964,0.18042542040348053,2.7429962158203125
pythia-70m,draw_1,control,3,0,1.7465869188308716,0.7333058714866638,1.7903506755828857
pythia-70m,draw_1,control,3,1,0.7676398158073425,0.543046236038208,0.7576804161071777
pythia-70m,draw_1,control,3,2,3.894279956817627,0.1951795071363449,3.919354200363159
pythia-70m,draw_1,control,3,3,2.573763608932495,0.4838491678237915,2.5859375
pythia-70m,draw_1,control,3,4,3.0257797241210938,0.4241032302379608,3.0609874725341797
pythia-70m,draw_1,control,3,5,0.4315498173236847,0.49990564584732056,0.20295026898384094
pythia-70m,draw_1,control,3,6,0.23340915143489838,0.41871654987335205,0.0315624438226223
pythia-70m,draw_1,control,3,7,3.4811322689056396,0.4540369212627411,3.5820884704589844
